DATO1	AMELIA	1	ATO	D	0123456789	amelia@mail.apu.edu.my	
AATO2	OLIVIA	35	ATO	A	0165543298	olivia@mail.apu.edu.my	
CAHS3	ISLA	8	AHS	C	0144236845	isla@mail.apu.edu.my	
DSID4	EMILY	8	SID	D	0184524246	emily@mail.apu.edu.my	
DAHS5	POPPY	10	AHS	D	0122245876	poppy@mail.apu.edu.my	
BSID6	AVA	16	SID	B	0165487545	ava@mail.apu.edu.my	
DSID7	ZOE	12	SID	D	0185475426	isabella@mail.apu.edu.my	
DACC8	JESSICA	28	ACC	D	0165475429	jessica@mail.apu.edu.my	
CSID9	LILY	56	SID	C	0165454593	lily@mail.apu.edu.my	
AAEO10	SOPHIE	88	AEO	A	0158775487	sophie@mail.apu.edu.my	
DAHS11	JACK	64	AHS	D	0125454391	jack@mail.apu.edu.my	
DACC12	HARRY	2	ACC	D	0165875493	harry@mail.apu.edu.my
BAEO13	JACOB	49	AEO	B	0168457191	jacob@mail.apu.edu.my
CAHS14	CHARLIE	51	AHS	C	0154343657	charlie@mail.apu.edu.my
DSID15	OSCAR	18	SID	D	0165465493	oscar@mail.apu.edu.my
CSID16	JAMES	24	SID	C	0198765484	james@mail.apu.edu.my
DACC17	ALFIE	23	ACC	D	0168745348	alfie@mail.apu.edu.my
BAEO18	STANLEY	10	AEO	B	0165484754	stanley@mail.apu.edu.my
DAHS19	LEO	75	AHS	D	0154875739	leo@mail.apu.edu.my
CSID20	ADAM	88	SID	C	0151504954	adam@mail.apu.edu.my
AAEO21	JUDE	68	AEO	A	0166458434	jude@mail.apu.edu.my
CAHS22	RYAN	19	AHS	C	0121215434	ryan@mail.apu.edu.my
CATO23	MARIA	5	ATO	C	0188751745	maria@mail.apu.edu.my
AAHS24	AMY	44	AHS	A	0129846731	amy@mail.apu.edu.my
CAEO25	HEIDI	96	AEO	C	0167487532	heidi@mail.apu.edu.my
DAHS26	LEAH	19	AHS	D	0187845954	leah@mail.apu.edu.my
BAEO27	THEO	14	AEO	B	0168745126	theo@mail.apu.edu.my
CATO28	TYLER	33	ATO	C	0156494561	tyler@mail.apu.edu.my
DSID29	MATTHEW	14	SID	D	0168745822	matthew@mail.apu.edu.my
BATO30	TOMY	7	ATO	B	0185745216	tomy@mail.apu.edu.my

